# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.123       18.467      876.633     1171.285
       0.264       14.192      880.066     1173.809
       0.416        8.308      880.066     1173.809
       0.542       14.583      821.766     1117.379
       0.683        5.008      863.504     1964.711
       0.830       15.858      880.094     1972.348
       0.981       13.358      895.039     1976.945
       1.140       15.758      910.570     1980.496
       1.301       14.192      929.984     1993.695
       1.456       10.017      960.688     2019.664
       1.627       15.142      978.352     2027.895
       1.783       21.700     1022.891     2039.430
       1.939       37.092     1028.637     2044.789
       2.128       15.233     1034.246     2049.812
       2.301       23.367     1039.797     2055.090
       2.458       33.308     1042.422     2052.812
       2.632       15.858     1045.004     2054.164
