# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.130       12.517      154.984      664.516
       0.265       16.667      209.027      713.711
       0.394       28.125      225.285      721.840
       0.534       28.833      238.926      729.305
       0.676       38.783      256.703      734.445
       0.816       33.242      260.504      737.648
       0.942       44.642      279.102      756.969
       1.085       38.150      287.027      762.504
       1.248       33.483      295.914      763.809
       1.384       50.917      346.656      808.465
       1.544       54.483      384.953      825.746
       1.699       85.692      401.500      839.082
       1.920       56.333      418.469      842.113
       2.060       35.092      428.309      844.891
       2.207       76.233      467.953      866.410
       2.449       77.575      478.160      860.238
       2.618       49.292      475.344      858.598
       2.747       15.625      475.352      858.598
       2.872        8.283      475.352      858.598
       2.997       12.092      495.285      875.641
       3.139       15.025      535.715      969.895
       3.283       12.008      548.926      975.773
       3.438       14.192      559.457      982.262
       3.596       34.000      509.488      952.020
       3.754       41.883      530.387      964.828
       3.910        0.000      423.094      815.590
       4.052       17.542      488.477     1424.254
       4.177       13.850      500.168     1429.363
       4.321       30.050      571.117     1465.410
       4.477       19.200      611.773     1480.289
       4.636       23.367      705.641     1482.621
       4.792        8.308      752.000     1515.066
       4.933        9.233      776.766     1569.434
       5.079        0.000      435.086      815.500
       5.216        8.308      435.086      815.500
       5.345        8.333      435.094      815.500
       5.489       14.192      475.258     1662.828
       5.630       23.083      498.230     1675.695
       5.783       18.358      504.465     1672.676
       5.940       16.692      520.684     1675.922
       6.096       11.358      540.902     1688.934
       6.252       10.158      566.098     1710.219
       6.394       15.808      589.098     1723.609
       6.538       39.808      642.906     1742.086
       6.699       37.558      645.688     1744.141
       6.854       18.367      647.711     1746.734
       7.011       30.050      653.395     1751.523
       7.172       19.900      669.715     1755.555
       7.328       18.367      653.629     1741.223
