# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.125        0.000       87.066      147.520
       0.243        5.542       87.238      147.586
       0.383        2.083       87.848      148.297
       0.507        0.000       87.848      148.297
       0.649        0.000       87.848      148.297
       0.789        0.000       87.848      148.297
       0.915        0.000       87.848      148.297
       1.040        0.000       87.848      148.297
       1.166        0.000       87.848      148.297
       1.292        0.000       87.852      148.297
       1.416        0.000       87.852      148.297
       1.543        0.000       87.852      148.297
       1.666        0.000       87.852      148.297
       1.792        0.000       87.855      148.297
       1.918        0.000       87.855      148.297
       2.060        0.000       87.855      148.297
       2.184        0.000       87.855      148.297
       2.307        0.000       87.855      148.297
       2.431       12.500       92.273      153.852
       2.557        8.333      125.156      483.000
       2.680       15.700      137.387      486.816
       2.823       18.467      157.258      499.570
       2.964       23.367      175.797      507.145
       3.107       23.958      187.930      510.941
       3.250       13.358      217.027      518.898
       3.391       11.458      219.949      516.793
       3.533        5.542      221.965      517.934
       3.660        5.208      222.457      518.195
       3.805       15.858      229.469      525.137
       3.949       21.242      234.246      529.957
       4.084       21.700      257.078      542.113
       4.240       29.217      280.691      565.473
       4.399       29.550      292.098      576.781
       4.552       26.500      297.930      641.066
       4.707       20.458      305.188      637.574
       4.864       14.100      306.832      639.004
       5.019       20.867      310.965      643.094
       5.160       15.625      315.020      646.734
       5.306       15.858      317.305      649.230
       5.460       24.208      327.609      649.234
       5.601       22.167      332.340      654.047
       5.743       13.358      334.852      656.504
       5.899       25.858      354.445      673.645
       6.040       24.183      357.094      676.379
       6.183       32.342      360.266      680.137
       6.341       29.217      366.336      687.617
       6.480       27.083      373.941      687.730
       6.626       29.217      394.285      692.027
       6.765       34.375      427.160      699.312
       6.907       25.042      419.859      703.238
       7.066       36.492      428.238      711.109
       7.207       35.342      440.211      723.469
       7.350       35.092      444.035      727.211
       7.488       35.092      432.344      719.215
       7.630       29.758      397.117      680.492
       7.773       19.392      409.172      686.113
       7.913       20.458      420.559      698.754
       8.072       36.333      440.551      718.852
       8.225       27.700      432.504      709.457
       8.365        8.308      436.730      713.734
       8.507        2.792      423.961      699.270
       8.646        0.000      423.961      699.270
