# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.006        0.000      190.656      890.461
       0.127       27.083      213.250      906.414
       0.253       32.292      243.910      912.203
       0.378       28.125      236.723      904.961
       0.497       15.533      240.020      908.684
       0.619        8.333      242.875      911.617
       0.738       27.083      263.586      891.012
       0.852       20.125      266.922      893.785
       0.966       15.625      267.543      894.191
       1.081       19.117      268.695      895.527
       1.202       29.167      270.820      895.043
       1.320       22.700      273.004      897.598
       1.441       31.250      279.012      902.656
       1.558       18.942      275.602      899.578
       1.684       17.675      277.680      901.879
       1.814       33.333      279.922      904.094
       1.942       35.417      285.617      909.688
       2.094       34.000      283.797      908.148
       2.219       22.917      281.879      906.270
