# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000      159.586      878.477
       0.120       35.417      171.109      881.074
       0.248       27.083      189.168      890.258
       0.369       34.375      217.320      911.746
       0.493       39.583      244.363     1040.332
       0.616       39.058      244.734     1038.414
       0.740       25.000      240.773     1033.883
       0.851       21.500      242.902     1035.840
       0.978       28.625      250.922     1041.684
       1.103       26.042      254.898     1045.430
       1.228       29.167      258.520     1048.695
       1.355       16.667      256.977     1048.688
       1.485       27.083      259.102     1050.066
       1.628       32.550      265.828     1056.711
       1.750       16.667        8.602      262.125
