# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       24.750      832.242
       0.123        1.042       24.957      832.453
       0.236        0.000       25.016      832.523
       0.359        7.292       30.406      834.680
       0.472       10.750       40.832      840.484
       0.582       13.142       46.836      841.250
       0.691        9.467       55.457      843.000
       0.802       27.475       72.434      850.191
       0.927       20.833       88.988      853.809
       1.038       14.583      101.184      855.684
       1.164       14.583      109.625      856.629
       1.273       14.208      121.273      860.160
       1.387       23.892      129.789      862.961
       1.508       21.875      144.656      871.062
       1.636       32.292      155.945      875.461
       1.765       33.333      176.789      891.199
       1.883       34.375      185.359      897.012
       2.011       32.292      201.297      905.438
       2.149       32.325      223.172      910.906
       2.260       32.250      222.043      908.977
       2.386       31.250      225.812      912.859
       2.497       37.033      229.551      914.605
       2.608       22.492      230.777      915.613
       2.732       19.792      233.961      918.703
       2.843       40.617      254.223      775.367
       2.968       31.250      256.137      776.508
       3.091       20.833      256.586      777.074
       3.202       23.892      257.309      777.746
       3.329       27.083      257.902      778.254
       3.455       20.833      258.152      778.645
       3.578       21.875      261.789      782.363
       3.689       18.942      213.125      735.086
       3.800       14.333      224.012      746.520
       3.926       25.000      244.008      767.188
       4.054       33.242      251.766      772.895
       4.180       28.125      267.918      774.285
